Rank,Nom,Platforme,Année,Genre,Editeur,Ventes
1,WiiSports,1,2006,1,1,82.74
2,SuperMarioBros.,2,1985,2,1,40.24
3,MarioKartWii,1,2008,3,1,35.82
4,WiiSportsResort,1,2009,1,1,33
5,PokemonRed/PokemonBlue,3,1996,4,1,31.37
6,Tetris,3,1989,5,1,30.26
7,NewSuperMarioBros.,4,2006,2,1,30.01
8,WiiPlay,1,2006,0,1,29.02
9,NewSuperMarioBros.Wii,1,2009,2,1,28.62
10,DuckHunt,2,1984,6,1,28.31
11,Nintendogs,4,2005,7,1,24.76
12,MarioKartDS,4,2005,3,1,23.42
13,PokemonGold/PokemonSilver,3,1999,4,1,23.1
14,WiiFit,1,2007,1,1,22.72
15,WiiFitPlus,1,2009,1,1,22
16,KinectAdventures!,5,2010,0,2,21.82
17,GrandTheftAutoV,6,2013,8,3,21.4
18,GrandTheftAuto:SanAndreas,7,2004,8,3,20.81
19,SuperMarioWorld,8,1990,2,1,20.61
20,BrainAge:TrainYourBraininMinutesaDay,4,2005,0,1,20.22
21,PokemonDiamond/PokemonPearl,4,2006,4,1,18.36
22,SuperMarioLand,3,1989,2,1,18.14
23,SuperMarioBros.3,2,1988,2,1,17.28
24,GrandTheftAutoV,5,2013,8,3,16.38
25,GrandTheftAuto:ViceCity,7,2002,8,3,16.15
26,PokemonRuby/PokemonSapphire,9,2002,4,1,15.85
27,PokemonBlack/PokemonWhite,4,2010,4,1,15.32
28,BrainAge2:MoreTraininginMinutesaDay,4,2005,5,1,15.3
29,GranTurismo3:A-Spec,7,2001,3,4,14.98
30,CallofDuty:ModernWarfare3,5,2011,6,5,14.76
31,PokémonYellow:SpecialPikachuEdition,3,1998,4,1,14.64
32,CallofDuty:BlackOps,5,2010,6,5,14.64
33,PokemonX/PokemonY,2,2013,4,1,14.35
34,CallofDuty:BlackOps3,11,2015,6,5,14.24
35,CallofDuty:BlackOpsII,6,2012,6,5,14.03
36,CallofDuty:BlackOpsII,5,2012,6,5,13.73
37,CallofDuty:ModernWarfare2,5,2009,6,5,13.51
38,CallofDuty:ModernWarfare3,6,2011,6,5,13.46
39,GrandTheftAutoIII,7,2001,8,3,13.1
40,SuperSmashBros.Brawl,1,2008,9,1,13.04
41,CallofDuty:BlackOps,6,2010,6,5,12.73
42,AnimalCrossing:WildWorld,4,2005,7,1,12.27
43,MarioKart7,10,2011,3,1,12.21
44,Halo3,5,2007,6,2,12.14
45,GrandTheftAutoV,11,2014,8,3,11.98
46,PokemonHeartGold/PokemonSoulSilver,4,2009,8,1,11.9
47,SuperMario64,12,1996,2,1,11.89
48,GranTurismo4,7,2004,3,4,11.66
49,SuperMarioGalaxy,1,2007,2,1,11.52
50,PokemonOmegaRuby/PokemonAlphaSapphire,10,2014,4,1,11.33
51,SuperMarioLand2:6GoldenCoins,3,1992,10,1,11.18
52,GrandTheftAutoIV,5,2008,8,3,11.02
53,GranTurismo,13,1997,3,4,10.95
54,SuperMario3DLand,10,2011,2,1,10.79
55,GranTurismo5,6,2010,3,4,10.77
56,CallofDuty:ModernWarfare2,6,2009,6,5,10.69
57,GrandTheftAutoIV,6,2008,8,3,10.57
58,SuperMarioAll-Stars,8,1993,2,1,10.55
59,PokemonFireRed/PokemonLeafGreen,9,2004,4,1,10.49
60,SuperMario64,4,2004,2,1,10.42
61,JustDance3,1,2011,0,6,10.26
62,CallofDuty:Ghosts,5,2013,6,5,10.21
63,Halo:Reach,5,2010,6,2,9.88
64,MarioKart64,12,1996,3,1,9.87
65,NewSuperMarioBros.2,10,2012,2,1,9.82
66,Halo4,5,2012,6,2,9.76
67,FinalFantasyVII,13,1997,4,4,9.72
68,CallofDuty:Ghosts,6,2013,6,5,9.59
69,JustDance2,1,2010,0,6,9.52
70,GranTurismo2,13,1999,3,4,9.49
71,CallofDuty4:ModernWarfare,5,2007,6,5,9.32
72,DonkeyKongCountry,8,1994,2,1,9.3
73,Minecraft,5,2013,0,2,9.2
74,AnimalCrossing:NewLeaf,10,2012,7,1,9.09
75,MarioPartyDS,4,2007,0,1,9.02
76,TheElderScrollsV:Skyrim,5,2011,4,7,8.84
77,SuperMarioKart,8,1992,3,1,8.76
78,FIFA16,11,2015,1,8,8.49
79,WiiParty,1,2010,0,1,8.49
80,Halo2,14,2004,6,2,8.49
81,MarioParty8,1,2007,0,1,8.42
82,PokemonBlack2/PokemonWhite2,4,2012,4,1,8.33
83,FIFASoccer13,6,2012,8,8,8.24
84,TheSims3,15,2009,7,8,8.11
85,GoldenEye007,12,1997,6,1,8.09
86,Mario&SonicattheOlympicGames,1,2007,1,9,8.06
87,FinalFantasyX,7,2001,4,4,8.05
88,FinalFantasyVIII,13,1999,4,10,7.86
89,PokémonPlatinumVersion,4,2008,4,1,7.84
90,Pac-Man,1,1982,5,11,7.81
